urduWord,romanUrdu,devanagri,englishWord,hindiWord,wordClass,origin,englishMeaning,useInTense
آبشار,Aabshaar,आबशार,Fountain,झरना,Noun,Persian,"A natural water feature, typically a fountain or waterfall, known for its beauty and often found in gardens or natural landscapes.",Barish ki boondon ne pahadon se girte hue aabshaar ka manzar aur bhi khubsurat bana diya.
آفاق,Aafaaq,आफ़ाक,Horizon,आकाश,Noun,Arabic,"Plural of ""aafaq"", meaning horizons or skies. It refers to the vast expanse of the sky or the far-reaching limits of vision.",Uske sapne un afqaq se bhi pare hain jahan koi kabhi nahi pahunch paya.
آفرین,Aafreen,आफरीन,Praise,प्रशंसा,Noun,Persian,"An exclamation used to express admiration or praise for something. It is often used to appreciate someone's qualities, actions, or achievements.",Tumhari mehnaat aur kaamyaabi par Aafreen hai
آفتاب,Aaftaab,आफ़ताब,Sun,सूर्य,Noun,Persian,"The sun or sunlight. It symbolizes light, warmth, and vitality, often considered a source of life and energy.",Subah ka aaftaab pehdon par chamak raha tha aur hawa mein khushboo thi.
آغوش,Aagosh,आगोश,Embrace,गोद,Noun,Persian,"Literally means embrace or bosom. Figuratively, it can refer to a protective or comforting embrace, suggesting security and warmth.",Maa ne apne bacche ko apne aagosh mein lekar usse pyar kiya.
آہستہ,Aahishta,आहिस्ता-आहिस्ता,Slowly,धीरे-धीरे,Adverb,Persian,"Means slowly or gently. It implies a soft and gradual movement or action, often used in contexts where a calm and measured approach is preferred.",Wo aahishta aahishta chal raha tha taki koi use na dekhe.
آہستہ,Aahista,आहिस्ता,Slow,धीरे,Adverb,Persian,"Similar to ""aahishta"", it also means slow or softly. It emphasizes a gentle and unhurried manner, suitable for delicate or peaceful situations.",Baarish ke boond aahista aahista zameen par gir rahi thi.
آنکھ,Aankh,आँख,Eye,आँख,Noun,Sanskrit,"Plural of ""aankh"", meaning eyes. It refers to the organs of sight, crucial for vision and often symbolizing perception, awareness, and insight.",Uski aakhon mein ek gahri udaasi thi.
آخرت,Aakhirat,आखिरत,Hereafter,अंतिम जन्म,Noun,Arabic,"Refers to the hereafter or the afterlife in Islamic theology. It denotes the eternal life that follows earthly existence, based on one's deeds and beliefs.",Insaan ko hamesha aakhirat ke din ka khayal rakhna chahiye.
عالمگیر,Aalamgir,आलमगीर,Conqueror,विश्वविख्यात,Adjective,Arabic + Persian,A title meaning conqueror of the world or universe. It historically refers to rulers who had extensive dominion or influence.,Shah Jahan ek aalamgir badshah tha jisne tajmahal banwaya.
عاقل,Aaqil,आक़िल,Intelligent,बुद्धिमान,Adjective,Arabic,"Intelligent or wise. It denotes someone who is discerning, sensible, and possesses sound judgment.",Ek aaqil insan hamesha soch samjhkar faisla leta hai.
آرام,Aaraam,आराम,Comfort,विश्राम,Noun,Persian,"Comfort or ease. It signifies relaxation, peace, or a state of being free from stress or exertion.",Usne apne kaam se thak kar aaraam karne ka faisla kiya.
آرزو,Aarazoo,आरज़ू,Desire,इच्छा,Noun,Persian,Desire or wish. It denotes a longing or aspiration for something desired or hoped for.,Uski aarazoo thi ki wo ek bada afsar bane.
آسان,Aasaan,आसान,Easy,सरल,Adverb,Arabic,"Easy or simple. It describes something that is uncomplicated, effortless, or not difficult to achieve.","Yeh kaam bahut aasaan hai, tum ise aasani se kar loge."
آثار,Aasaar,आसार,Traces,प्रमाण,Noun,Arabic,"Plural of ""asar"", meaning marks or traces. It refers to the remnants, signs, or effects left behind by something.",Purane shahar ke aasaar aaj bhi dekhe ja sakte hain.
عاشق,Aashiq,आशिक़,Lover,प्रेमी,Noun,Arabic,Lover or admirer. It refers to someone who loves passionately or is deeply enamored with someone or something.,Wo ek khubsurat ladki ka aashiq tha.
عاشقی,Aashiqi,आशिक़ी,Love,प्रेम,Noun,Arabic,Love or passion. It denotes the state or act of being in love or having intense affection towards someone or something.,Unki aashiqi ki kahani har koi jaanta hai.
آشنا,Aashna,आशना,Acquaintance,परिचिति,Noun,Persian,"Familiar or acquainted. It describes someone who is known or recognized, often implying a close or familiar relationship.",Wo mere bachpan ka aashna hai.
آسمان,Aasmaan,आसमान,Sky,आकाश,Noun,Persian,"Sky or heavens. It refers to the celestial expanse above, often symbolizing vastness, infinity, or the realm above the earth.",Raat mein aasmaan mein sitare chamak rahe the.
آنسو,Aasoo,आसू,Tears,अश्रु,Noun,Persian,Tear. It refers to a drop of saline fluid secreted by the lacrimal gland and flowing out through the tear ducts.,"Woh kitabon mein kho gayi, usay pata hi na chala kab uski aankhon se aasoo beh nikle."
آتش,Aatish,आतिश,Fire,अग्नि,Noun,Persian,Fire or blaze. It signifies a burning flame or intense heat.,"Shaam hote hi, bazaar mein atish phail gaya."
ادبہ تنزیل,Ada-e tanz,अदा-ए तंज़,Sarcasm,व्यंग्य,Noun,Persian,"Irony or sarcasm. It denotes the use of words to convey a meaning that is opposite to their literal meaning, often for humorous or emphatic effect.",Uski Ada-e Tanz se sab hans hans kar pagal ho gaye
ادب,Adab,अदब,Etiquette,शिष्टाचार,Noun,Arabic,Etiquette or manners. It refers to the code of behavior and courtesy in social and cultural contexts.,Gusse mein bhi unhon ne adab se jawab dia.
عداوت,Adavat,अदावत,Enmity,द्वेष,Noun,Arabic,Enmity or hostility. It describes a state of strong opposition or animosity towards someone or something.,Uske dil mein uss shakhs ke liye badi adavat hai.
ادنیٰ,Adna,अद्ना,Lowest,निम्न,Adjective,Arabic,"Lower or inferior. It signifies something that is lesser in position, quality, or importance.",Unhon ne yeh kaam bahut kam samay mein kar liya.
آئینہ,Aaina,आईना,Mirror,दर्पण,Noun,Persian,Mirror. It refers to a reflective surface used for viewing oneself or objects.,Woh Aaine me apna chehra dekh rhi thi
عفیفہ,Afeefah,अफीफ़ा,Pure,शिष्टा,Noun,Arabic,"Pure or chaste. It describes something that is clean, virtuous, or free from impurities.",Woh apni afeefah tarteeb ke liye jaani jati thi.
افسانہ,Afsana,अफ़साना,Story,कहानी,Noun,Persian,"Tale or story. It denotes a narrative or account, often fictional, that is told or written.","Woh shaam, unhon ne humein apna purana afsana sunaya."
افسون,Afsoon,अफ़सूं,sorrow,विलाप,Noun,Persian,Sorrow or grief. It signifies a state of sadness or distress.,Uske baaton mein aisa afsoon tha ke sab log uski taraf khichay chale aaye.
افسردہ,Afsurda,अफ़सुर्दा,Disheartened,निराश,Adjective,Persian,Astonished or amazed. It describes a state of being surprised or bewildered.,"Tumhare jaane ke baad, woh hamesha afsurda aur udaas rehta hai."
اہمیت,Ahmiyat,अहमियत,Importance,महत्व,Noun,Arabic,Importance or significance. It refers to the quality of being significant or having value.,Zindagi mein taleem ki ahmiyat ko kabhi nazar andaz nahi karna chahiye.
عجب,Ajab,अजब,Strange,विचित्र,Adjective,Arabic,Strange or unusual. It denotes something that is surprising or unexpected.,Usne ajab baat keh di jo sab ko hairaan kar gayi.
اکیلا,Akela,अकेला,Alone,एकाकी,Adjective,Arabic,Alone or solitary. It describes someone or something that is singular or without companionship.,"Sheher ke bheed mein bhi, woh apne aap ko akela mehsoos karta hai."
اخلاق,Akhlaaq,अख़्लाक़,Morals,नैतिकता,Noun,Arabic,"Morals or ethics. It refers to principles of right and wrong behavior, often based on personal or cultural beliefs.",Uske ache akhlaaq ne sabka dil jeet liya.
عکس,Aks,अक्स,Reflection,प्रतिबिम्ब,Noun,Arabic,Reflection or shadow. It signifies the image or likeness of something as seen in a mirror or shadow.,Pani mein uska aks dekh kar mujhe apne bachpan ki yaad aa gayi.
اعلیٰ,Aa'la,आला,Excellent,श्रेष्ठ,Noun,Arabic,Excellent or outstanding. It denotes something that is of high quality or superior.,"Uska naam Aa'la hai, kyunke wo hamesha apne kaam mein behtareen hota hai."
